      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2015-02-25 01:12:36, 294455,     299.15,         995,       0.01,      984.31,        3.33,        6.18,  294455,       0
2015-02-25 01:33:57,   5531,       6.24,          18,       0.04,      886.38,        2.88,       39.28,    5531,       0
2015-02-25 01:35:22,   2834,       3.31,           9,       0.08,      856.19,        2.72,       70.31,    2834,       0
2015-02-25 01:48:34,  11308,      11.81,          38,       0.02,      957.49,        3.22,       23.43,   11308,       0
2015-02-25 12:59:38,   5954,       6.67,          16,       0.06,      892.65,        2.40,       50.03,    5954,       0
2015-02-25 13:11:21,   6142,       5.13,          17,       0.40,     1197.27,        3.31,      476.43,    6142,       0
2015-02-25 13:24:26,   2515,       2.21,           7,       0.39,     1138.01,        3.17,      443.68,    2515,       0
2015-02-25 13:39:15,   3826,       3.32,          10,       0.40,     1152.41,        3.01,      464.63,    3827,       0
2015-02-25 13:53:41,   1701,       1.77,           4,       0.44,      961.02,        2.26,      419.85,    1701,       0
2015-02-25 13:54:41,   2197,       1.99,           6,       0.40,     1104.02,        3.02,      438.76,    2197,       0
2015-02-25 13:59:57, 420110,     299.79,        1177,       0.36,     1401.35,        3.93,      499.52,  420110,       0
2015-02-25 14:02:29,   4136,       3.09,          11,       0.35,     1338.51,        3.56,      462.71,    4136,       0
2015-02-25 14:22:39, 296509,     299.75,         830,       0.00,      989.19,        2.77,        4.20,  296509,       0
2015-02-25 14:35:05, 594697,     599.95,        1666,       0.00,      991.24,        2.78,        3.84,  594697,       0
2015-02-25 16:09:05, 892874,     899.25,        2501,       0.00,      992.91,        2.78,        3.74,  892874,       0
2015-02-25 16:37:56, 862079,     599.92,        2415,       0.20,     1436.99,        4.03,      281.62,  862079,       0
