      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2015-02-25 01:17:20,      0,       0.57,           0,       -nan,        0.00,        0.00,        0.00,       0,    1523
2015-02-25 01:22:38, 297681,     299.65,         146,       0.00,      993.43,        0.49,        2.53,  297681,       0
2015-02-25 01:33:29,   2191,       3.04,           1,       0.10,      720.72,        0.33,       68.53,    2191,       0
2015-02-25 01:55:08,    864,       1.20,           0,       0.06,      720.00,        0.00,       42.48,     868,       0
2015-02-25 12:59:13,  11054,      11.36,           3,       0.02,      973.06,        0.26,       17.90,   11055,       0
2015-02-25 13:03:32,   4281,       4.87,           1,       0.04,      879.06,        0.21,       36.41,    4281,       0
2015-02-25 13:10:26, 349577,     120.58,         125,       0.15,     2899.13,        1.04,      433.72,  349665,       1
2015-02-25 13:10:59,  25213,       8.84,           9,       0.15,     2852.15,        1.02,      414.24,   25290,       0
2015-02-25 13:45:02,  12403,       4.16,           4,       0.12,     2981.49,        0.96,      357.82,   12414,       0
2015-02-25 13:53:35,   7227,       2.25,          20,       0.10,     3212.00,        8.89,      324.13,    7232,       0
2015-02-25 14:07:42,1048654,     299.48,        2938,       0.14,     3501.58,        9.81,      498.74, 1048654,       0
2015-02-25 14:15:02, 298656,     299.92,         836,       0.00,      995.79,        2.79,        2.27,  298656,       0
2015-02-25 14:53:41, 597276,     599.97,        1673,       0.00,      995.51,        2.79,        1.94,  597276,       0
2015-02-25 15:10:53, 893948,     899.70,        2504,       0.00,      993.61,        2.78,        2.25,  893948,     335
2015-02-25 16:16:44,  18335,       9.54,          51,       0.02,     1921.91,        5.35,       40.98,   18336,       0
2015-02-25 16:26:53,1193412,     599.82,        3343,       0.00,     1989.62,        5.57,        5.58, 1193412,       0
